review_id,order_id,customer_id,restaurant_id,food_rating,delivery_rating,overall_rating,review_text,review_date,helpful_votes
REV10001,ORD130133,C12901,R3592,3.4,4.6,4.1,"Very fresh ingredients, absolutely delicious.",2023-12-20,4
REV10002,ORD130982,C11811,R2382,4.6,4.5,4.7,"Value for money, loved it.",2023-05-04,19
REV10003,ORD112091,C17882,R3960,3.3,3.9,3.8,Delivery was late but food was good.,2022-11-02,10
REV10004,ORD121846,C10070,R3270,3.2,4.1,3.5,"Could be better, but not bad.",2022-04-04,10
REV10005,ORD118675,C10494,R2897,4.5,4.0,4.2,"Very fresh ingredients, absolutely delicious.",2021-12-01,2
REV10006,ORD104675,C16806,R1201,4.1,2.9,3.8,"Packaging was good, taste was okay.",2022-05-15,9
REV10007,ORD134397,C17764,R3049,4.3,3.5,4.2,Great taste and fast delivery.,2022-07-26,0
REV10008,ORD120760,C13384,R2358,4.5,3.6,4.2,"Very fresh ingredients, absolutely delicious.",2022-04-09,0
REV10009,ORD123228,C10335,R2677,3.8,3.5,3.4,Delivery was late but food was good.,2023-12-04,6
REV10010,ORD124465,C14630,R1470,3.4,4.4,4.0,Portions were generous and flavourful.,2022-11-19,0
REV10011,ORD143801,C17968,R1455,3.8,2.3,3.1,"Average food, expected more.",2021-07-11,0
REV10012,ORD100173,C12736,R2675,4.5,3.5,4.1,"Very fresh ingredients, absolutely delicious.",2021-01-25,2
REV10013,ORD115121,C14392,R2679,3.6,3.6,3.5,"Decent food, nothing extraordinary.",2023-08-04,2
REV10014,ORD102041,C19907,R3919,4.3,4.7,4.3,"Authentic flavours, highly recommended.",2021-04-04,0
REV10015,ORD148352,C16062,R2653,4.0,4.3,4.1,Hot food delivered on time. Thumbs up!,2021-05-10,2
REV10016,ORD129474,C14466,R3260,4.3,3.9,3.9,"Could be better, but not bad.",2022-11-20,6
REV10017,ORD133428,C14783,R1947,4.9,4.1,4.4,Great taste and fast delivery.,2021-07-16,1
REV10018,ORD136421,C13176,R1371,4.3,4.2,4.3,Hot food delivered on time. Thumbs up!,2021-07-05,7
REV10019,ORD119081,C19559,R2341,3.4,3.3,3.1,"Could be better, but not bad.",2021-12-21,1
REV10020,ORD120574,C19595,R1510,4.5,4.4,4.7,One of the best in the area!,2021-03-02,1
REV10021,ORD149913,C17827,R2559,4.1,4.4,4.0,Excellent food quality and packaging.,2022-01-31,4
REV10022,ORD142663,C18043,R3337,4.2,4.3,4.2,Hot food delivered on time. Thumbs up!,2021-06-19,2
REV10023,ORD104116,C12320,R2330,4.6,4.6,4.5,"Value for money, loved it.",2022-09-24,1
REV10024,ORD122788,C19253,R1828,4.1,4.2,3.8,"Okay experience, may try again.",2023-09-12,0
REV10025,ORD139427,C13885,R2426,3.5,3.8,3.6,"Decent food, nothing extraordinary.",2021-07-04,5
REV10026,ORD109929,C16357,R1361,3.7,4.1,3.9,"Packaging was good, taste was okay.",2021-03-28,5
REV10027,ORD120367,C12063,R2193,3.4,4.0,3.5,Delivery was late but food was good.,2021-07-07,0
REV10028,ORD140520,C14788,R3842,3.3,3.4,3.6,Delivery was late but food was good.,2021-07-12,1
